Node ID (sub-cluster),Relationship,Node ID (cluster)
13480,SUBTYPE,73975
13480,SUBTYPE,13443
13480,SUBTYPE,8899
13480,SUBTYPE,10283
13480,SUBTYPE,13438
13480,SUBTYPE,6518
13480,SUBTYPE,81069
13480,SUBTYPE,14602
13480,SUBTYPE,81111
13480,SUBTYPE,21
13480,SUBTYPE,4899
13480,SUBTYPE,76509
13480,SUBTYPE,9831
13480,SUBTYPE,2000
13480,SUBTYPE,6563
13480,SUBTYPE,79980
13480,SUBTYPE,5715
13480,SUBTYPE,71731
13480,SUBTYPE,76244
13480,SUBTYPE,73432
13480,SUBTYPE,67560
13480,SUBTYPE,4437
13480,SUBTYPE,79415
13480,SUBTYPE,73275
13480,SUBTYPE,7695
13480,SUBTYPE,8902
13480,SUBTYPE,3929
13480,SUBTYPE,523
13480,SUBTYPE,74231
13480,SUBTYPE,72618
13480,SUBTYPE,5352
13480,SUBTYPE,85
13480,SUBTYPE,68685
13480,SUBTYPE,72095
13480,SUBTYPE,14810
13480,SUBTYPE,6546
13480,SUBTYPE,9807
13480,SUBTYPE,76560
13480,SUBTYPE,80670
13480,SUBTYPE,69361
13480,SUBTYPE,77360
13480,SUBTYPE,68612
13480,SUBTYPE,81523
13480,SUBTYPE,80451
13480,SUBTYPE,5315
13480,SUBTYPE,71331
13480,SUBTYPE,70257
13480,SUBTYPE,8901
13480,SUBTYPE,76077
13480,SUBTYPE,67735
13480,SUBTYPE,76284
13480,SUBTYPE,8337
13480,SUBTYPE,67388
13480,SUBTYPE,68826
13480,SUBTYPE,471
13480,SUBTYPE,4094
13480,SUBTYPE,78780
13480,SUBTYPE,11097
13480,SUBTYPE,4468
13480,SUBTYPE,14194
13480,SUBTYPE,68922
13480,SUBTYPE,78350
13480,SUBTYPE,78597
13480,SUBTYPE,72063
13480,SUBTYPE,73910
13480,SUBTYPE,70287
13480,SUBTYPE,67132
13480,SUBTYPE,11841
13480,SUBTYPE,79820
13480,SUBTYPE,2661
13480,SUBTYPE,6510
13480,SUBTYPE,917
13480,SUBTYPE,13315
13480,SUBTYPE,12865
13480,SUBTYPE,68495
13480,SUBTYPE,76824
3889,SUBTYPE,13480
3889,SUBTYPE,2384
3889,SUBTYPE,9675
3889,SUBTYPE,4367
3889,SUBTYPE,80358
3889,SUBTYPE,76745
3889,SUBTYPE,75283
3889,SUBTYPE,7342
3889,SUBTYPE,3035
3889,SUBTYPE,4977
3889,SUBTYPE,75953
3889,SUBTYPE,11080
3889,SUBTYPE,2845
3889,SUBTYPE,3595
3889,SUBTYPE,1971
3889,SUBTYPE,81788
3889,SUBTYPE,67316
3889,SUBTYPE,69099
3889,SUBTYPE,79670
3889,SUBTYPE,80501
3889,SUBTYPE,77239
3889,SUBTYPE,70500
3889,SUBTYPE,14415
3889,SUBTYPE,80411
3889,SUBTYPE,71120
3889,SUBTYPE,241
3889,SUBTYPE,78466
3889,SUBTYPE,8237
3889,SUBTYPE,80515
3889,SUBTYPE,12323
3889,SUBTYPE,592
3889,SUBTYPE,81828
3889,SUBTYPE,72102
3889,SUBTYPE,11532
3889,SUBTYPE,70051
3889,SUBTYPE,75641
3889,SUBTYPE,77030
3889,SUBTYPE,71848
3889,SUBTYPE,73018
3889,SUBTYPE,80771
3889,SUBTYPE,70777
3889,SUBTYPE,6336
3889,SUBTYPE,74636
3889,SUBTYPE,75453
3889,SUBTYPE,6776
3889,SUBTYPE,76306
3889,SUBTYPE,78085
3889,SUBTYPE,6017
3889,SUBTYPE,8222
3889,SUBTYPE,1647
3889,SUBTYPE,1258
3889,SUBTYPE,14142
3889,SUBTYPE,14640
3889,SUBTYPE,70431
3889,SUBTYPE,79334
3889,SUBTYPE,79818
3889,SUBTYPE,6940
3889,SUBTYPE,6864
3889,SUBTYPE,79173
3889,SUBTYPE,13292
3889,SUBTYPE,69909
3889,SUBTYPE,12632
3889,SUBTYPE,10937
3889,SUBTYPE,72359
3889,SUBTYPE,1337
3889,SUBTYPE,13096
3889,SUBTYPE,6552
3889,SUBTYPE,12489
3889,SUBTYPE,80178
3889,SUBTYPE,67270
3889,SUBTYPE,7138
3889,SUBTYPE,5696
3889,SUBTYPE,79460
3889,SUBTYPE,9672
3889,SUBTYPE,75606
3889,SUBTYPE,9792
3889,SUBTYPE,80803
3889,SUBTYPE,6978
3889,SUBTYPE,67949
3889,SUBTYPE,2260
3889,SUBTYPE,81779
3889,SUBTYPE,9106
3889,SUBTYPE,71033
3889,SUBTYPE,12830
3889,SUBTYPE,5988
3889,SUBTYPE,2818
3889,SUBTYPE,13295
3889,SUBTYPE,14982
3889,SUBTYPE,76639
3889,SUBTYPE,6685
3889,SUBTYPE,3357
3889,SUBTYPE,80987
3889,SUBTYPE,76140
3889,SUBTYPE,77585
3889,SUBTYPE,76635
3889,SUBTYPE,79878
3889,SUBTYPE,12194
3889,SUBTYPE,12885
3889,SUBTYPE,81855
3889,SUBTYPE,72787
3889,SUBTYPE,3328
3889,SUBTYPE,7085
3889,SUBTYPE,10694
3889,SUBTYPE,6501
3889,SUBTYPE,81403
3889,SUBTYPE,69357
3889,SUBTYPE,71525
3889,SUBTYPE,12252
3889,SUBTYPE,6902
3889,SUBTYPE,80696
3889,SUBTYPE,80016
3889,SUBTYPE,69223
3889,SUBTYPE,77526
3889,SUBTYPE,72179
3889,SUBTYPE,394
3889,SUBTYPE,79266
3889,SUBTYPE,6519
3889,SUBTYPE,3579
3889,SUBTYPE,3398
3889,SUBTYPE,75434
3889,SUBTYPE,1672
3889,SUBTYPE,6435
3889,SUBTYPE,72884
3889,SUBTYPE,8698
3889,SUBTYPE,71878
3889,SUBTYPE,72159
3889,SUBTYPE,73823
3889,SUBTYPE,74234
3889,SUBTYPE,220
3889,SUBTYPE,81766
3889,SUBTYPE,4484
3889,SUBTYPE,81583
3889,SUBTYPE,384
3889,SUBTYPE,2356
3889,SUBTYPE,2670
3889,SUBTYPE,12317
3889,SUBTYPE,13477
3889,SUBTYPE,13226
3889,SUBTYPE,4583
3889,SUBTYPE,5846
3889,SUBTYPE,5813
3889,SUBTYPE,4652
3889,SUBTYPE,69928
3889,SUBTYPE,81497
3889,SUBTYPE,3567
3889,SUBTYPE,11772
3889,SUBTYPE,70210
3889,SUBTYPE,69059
3889,SUBTYPE,67322
3889,SUBTYPE,81438
3889,SUBTYPE,68013
3889,SUBTYPE,9097
3889,SUBTYPE,11489
3889,SUBTYPE,81067
3889,SUBTYPE,69949
3889,SUBTYPE,0
3889,SUBTYPE,78288
3889,SUBTYPE,76877
3889,SUBTYPE,76053
3889,SUBTYPE,6708
3889,SUBTYPE,4053
3889,SUBTYPE,70519
3889,SUBTYPE,77794
3889,SUBTYPE,78277
3889,SUBTYPE,76660
3889,SUBTYPE,78066
3889,SUBTYPE,1360
3889,SUBTYPE,2706
3889,SUBTYPE,11566
3889,SUBTYPE,3927
3889,SUBTYPE,72125
3889,SUBTYPE,80009
3889,SUBTYPE,8910
3889,SUBTYPE,575
3889,SUBTYPE,76031
3889,SUBTYPE,67774
3889,SUBTYPE,2455
3889,SUBTYPE,7700
3889,SUBTYPE,72089
3889,SUBTYPE,759
3889,SUBTYPE,11440
3889,SUBTYPE,81448
3889,SUBTYPE,68042
3889,SUBTYPE,80323
3889,SUBTYPE,8880
3889,SUBTYPE,7213
3889,SUBTYPE,75038
